Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775438762,10,,Aggregated,59.600000,0.000000,53,54,55,55,600,610,610,610,620,620,620,734,0,53,121.19901798366624,51.199900000938214,624.6699000002991,41.036784741144416
1775438763,10,,Aggregated,65.300000,0.000000,53,54,54,55,600,610,610,610,620,620,620,811,0,53,119.51652318127023,51.199900000938214,624.6699000002991,41.356350184956845
1775438764,10,,Aggregated,66.600000,0.000000,53,54,55,55,600,610,610,610,620,620,620,870,0,53,120.16906724137667,51.199900000938214,624.6699000002991,41.46666666666667
1775438765,10,,Aggregated,67.100000,0.000000,53,54,55,55,600,610,610,610,620,620,620,942,0,53,119.78687229298835,51.199900000938214,624.6699000002991,41.666666666666664
1775438766,10,,Aggregated,67.000000,0.000000,53,54,55,55,600,610,610,610,620,620,620,1010,0,53,118.639155247511,51.199900000938214,624.6699000002991,41.88019801980198
1775438767,10,,Aggregated,64.900000,0.000000,53,54,55,55,600,610,610,610,620,620,620,1088,0,53,116.52222316175532,51.199900000938214,624.6699000002991,42.142463235294116
1775438768,10,,Aggregated,64.000000,0.000000,53,54,55,55,600,610,610,610,620,620,620,1156,0,53,116.15336271625864,51.199900000938214,624.6699000002991,42.26989619377163
1775438769,10,,Aggregated,65.200000,0.000000,53,54,55,55,600,610,610,610,620,620,620,1222,0,53,116.33250147298445,51.199900000938214,624.6699000002991,42.34860883797054
1775438770,10,,Aggregated,65.800000,0.000000,53,54,55,55,600,610,610,610,620,620,620,1296,0,53,116.10562484566042,51.199900000938214,624.6699000002991,42.451388888888886
1775438771,10,,Aggregated,65.300000,0.000000,53,54,54,55,600,610,610,610,620,620,620,1357,0,53,116.50288467205162,51.199900000938214,624.6699000002991,42.496683861459104
